196	197	192	198	199	194	199	200	196	200	201	196	199	200	195	199	199	199	199	199	197	198	198	196	198	199	195	200	201	197	
198	200	197	197	200	197	198	201	197	197	200	196	196	198	195	200	200	199	199	199	197	199	199	197	200	201	196	200	201	196	
195	200	196	195	200	196	196	201	197	196	201	197	197	202	198	200	201	198	199	200	197	200	201	198	201	202	198	199	201	197	
197	202	198	196	201	197	195	200	196	195	200	196	196	201	197	199	201	198	198	200	197	200	202	199	201	203	200	199	201	198	
196	200	199	197	201	199	196	200	198	195	200	198	197	201	200	199	201	196	198	200	196	200	202	199	201	203	200	199	201	198	
195	197	196	197	199	198	198	199	199	198	200	199	202	203	202	198	200	195	199	201	196	199	201	198	199	201	198	199	201	199	
197	198	196	199	200	199	198	200	199	198	199	199	200	201	200	197	201	196	197	202	197	198	203	199	197	201	199	199	201	201	
194	199	193	197	202	197	197	202	198	196	200	199	197	201	200	197	202	196	198	203	197	202	204	201	200	201	200	200	201	202	
195	200	196	197	202	198	197	202	198	196	201	198	197	201	200	197	202	197	198	202	197	201	203	200	199	201	200	199	201	200	
197	202	198	198	203	199	197	202	198	196	201	197	197	202	198	200	203	198	200	202	199	200	202	199	200	202	200	199	201	200	
